K,N,L,repetition,protocol,batch_size,runtime_seconds,global_communication_mb,max_party_communication_mb,rounds,observed_max,expected_max,observed_index,expected_index,correct
2,2,32,0,semi,500,0.00915719,0.213662,0.106831,145,4224146657,4224146657,1,1,True
2,2,32,1,semi,500,0.00827923,0.213662,0.106831,145,3101075695,3101075695,1,1,True
2,2,32,2,semi,500,0.00844076,0.213662,0.106831,145,2435264973,2435264973,0,0,True
4,4,32,0,semi,500,0.0341039,3.68557,0.927021,831,4103782311,4103782311,1,1,True
4,4,32,1,semi,500,0.0315157,3.68557,0.927021,831,4209562264,4209562264,3,3,True
4,4,32,2,semi,500,0.0946939,3.68557,0.927021,831,4257619801,4257619801,2,2,True
8,8,32,0,semi,500,0.391487,40.2196,5.07336,2989,3807925807,3807925807,3,3,True
8,8,32,1,semi,500,0.338786,40.2196,5.07336,2989,4119689961,4119689961,4,4,True
8,8,32,2,semi,500,0.32873,40.2196,5.07336,2989,4063809632,4063809632,6,6,True
10,10,32,0,semi,500,0.582276,82.6154,8.34247,5031,3862917898,3862917898,6,6,True
10,10,32,1,semi,500,0.668391,82.6154,8.34247,5031,4259000363,4259000363,2,2,True
10,10,32,2,semi,500,0.661813,82.6154,8.34247,5031,4207078031,4207078031,4,4,True
20,20,32,0,semi,500,2.51659,734.761,37.1437,13642,4254391922,4254391922,4,4,True
20,20,32,1,semi,500,2.51425,734.761,37.1437,13642,3928267721,3928267721,2,2,True
20,20,32,2,semi,500,2.64437,734.761,37.1437,13642,4241029019,4241029019,3,3,True
30,30,32,0,semi,500,9.54058,2569.59,86.6329,21866,4276038932,4276038932,29,29,True
30,30,32,1,semi,500,7.29275,2569.59,86.6329,21866,4226913374,4226913374,20,20,True
30,30,32,2,semi,500,7.17545,2569.59,86.6329,21866,4236195723,4236195723,13,13,True
40,40,32,0,semi,500,50.6789,6609.1,167.031,35607,4222194427,4222194427,20,20,True
40,40,32,1,semi,500,20.2118,6609.1,167.031,35607,4270251617,4270251617,7,7,True
40,40,32,2,semi,500,21.3933,6609.1,167.031,35607,4265006872,4265006872,4,4,True
50,50,32,0,semi,400,59.5253,12829.5,259.467,47826,4047875945,4047875945,18,18,True
50,50,32,1,semi,400,48.1217,12829.5,259.467,47826,4291696693,4291696693,33,33,True
50,50,32,2,semi,400,39.3294,12829.5,259.467,47824,4290715541,4290715541,24,24,True
