dimension,clients,parties,L,repetition,protocol,batch_size,baseline_seconds,mpc_runtime_seconds,mpc_wall_seconds,encoding_seconds,global_communication_mb,max_party_communication_mb,rounds,overhead_ratio,expected_checksum,correct,network_profile,latency_ms,bandwidth_mbps,estimated_runtime_seconds,estimate_method
100,10,10,16,0,shamir,500,5.614649999188259e-06,0.372437,0.5813952130047255,0.012011999002425,77.4203,8.58822,60,66333.07508996024,4749476,True,LAN,1.0,1000.0,1.0517994,round-and-byte trace model
100,10,10,16,0,shamir,500,5.614649999188259e-06,0.372437,0.5813952130047255,0.012011999002425,77.4203,8.58822,60,66333.07508996024,4749476,True,WAN,50.0,100.0,9.566061,round-and-byte trace model
100,10,10,16,1,shamir,500,5.367679987102747e-06,0.407407,0.6260871639969992,0.01121162900381023,77.4203,8.58822,60,75900.01657678955,4906443,True,LAN,1.0,1000.0,1.0867694,round-and-byte trace model
100,10,10,16,1,shamir,500,5.367679987102747e-06,0.407407,0.6260871639969992,0.01121162900381023,77.4203,8.58822,60,75900.01657678955,4906443,True,WAN,50.0,100.0,9.601030999999999,round-and-byte trace model
100,10,10,16,2,shamir,500,5.424669943749904e-06,0.41084,0.6015989240040653,0.011526847003551666,77.4203,8.58822,60,75735.48331237258,5053775,True,LAN,1.0,1000.0,1.0902024,round-and-byte trace model
100,10,10,16,2,shamir,500,5.424669943749904e-06,0.41084,0.6015989240040653,0.011526847003551666,77.4203,8.58822,60,75735.48331237258,5053775,True,WAN,50.0,100.0,9.604464,round-and-byte trace model
1000,10,10,16,0,shamir,500,3.922205003618728e-05,2.71355,2.906978926002921,0.11441592800110811,774.2,85.8802,60,69184.29805419168,49577362,True,LAN,1.0,1000.0,8.96715,round-and-byte trace model
1000,10,10,16,0,shamir,500,3.922205003618728e-05,2.71355,2.906978926002921,0.11441592800110811,774.2,85.8802,60,69184.29805419168,49577362,True,WAN,50.0,100.0,67.64955,round-and-byte trace model
1000,10,10,16,1,shamir,500,4.200538998702541e-05,2.38133,2.5769384749946767,0.10791931799758459,774.2,85.8802,60,56691.05799840314,49621208,True,LAN,1.0,1000.0,8.63493,round-and-byte trace model
1000,10,10,16,1,shamir,500,4.200538998702541e-05,2.38133,2.5769384749946767,0.10791931799758459,774.2,85.8802,60,56691.05799840314,49621208,True,WAN,50.0,100.0,67.31733000000001,round-and-byte trace model
1000,10,10,16,2,shamir,500,4.0007619973039254e-05,2.36728,2.563717110999278,0.11079263300052844,774.2,85.8802,60,59170.72801619509,49384048,True,LAN,1.0,1000.0,8.62088,round-and-byte trace model
1000,10,10,16,2,shamir,500,4.0007619973039254e-05,2.36728,2.563717110999278,0.11079263300052844,774.2,85.8802,60,59170.72801619509,49384048,True,WAN,50.0,100.0,67.30328,round-and-byte trace model
10000,10,10,16,0,shamir,500,0.00039451819997339045,22.1007,22.333341395002208,1.1777489300002344,7742.0,858.8,60,56019.46881408932,490523549,True,LAN,1.0,1000.0,84.0967,round-and-byte trace model
10000,10,10,16,0,shamir,500,0.00039451819997339045,22.1007,22.333341395002208,1.1777489300002344,7742.0,858.8,60,56019.46881408932,490523549,True,WAN,50.0,100.0,644.4607,round-and-byte trace model
10000,10,10,16,1,shamir,500,0.0003812584700062871,35.2524,35.53100774300401,1.2412364460033132,7742.0,858.8,60,92463.25727378248,489225140,True,LAN,1.0,1000.0,97.2484,round-and-byte trace model
10000,10,10,16,1,shamir,500,0.0003812584700062871,35.2524,35.53100774300401,1.2412364460033132,7742.0,858.8,60,92463.25727378248,489225140,True,WAN,50.0,100.0,657.6124,round-and-byte trace model
10000,10,10,16,2,shamir,500,0.0012665096900309437,31.813,32.6345608430056,3.091628469999705,7742.0,858.8,60,25118.639241696394,491402828,True,LAN,1.0,1000.0,93.809,round-and-byte trace model
10000,10,10,16,2,shamir,500,0.0012665096900309437,31.813,32.6345608430056,3.091628469999705,7742.0,858.8,60,25118.639241696394,491402828,True,WAN,50.0,100.0,654.173,round-and-byte trace model
