sweep,operation,L,K,N,repetition,protocol,preprocessing_batch_size,prime,runtime_seconds,global_communication_mb,max_party_communication_mb,max_rounds,observed_result,expected_result,correct
vary_L,equality,8,8,8,0,semi,500,251,0.0763941,0.67095,0.084,259,0,0,True
vary_L,equality,8,8,8,1,semi,500,251,0.0681362,0.67095,0.084,259,1,1,True
vary_L,equality,8,8,8,2,semi,500,251,0.0509917,0.67095,0.084,259,0,0,True
vary_L,equality,8,8,8,3,semi,500,251,0.0536009,0.67095,0.084,259,1,1,True
vary_L,equality,8,8,8,4,semi,500,251,0.0504305,0.67095,0.084,259,0,0,True
vary_L,equality,16,8,8,0,semi,500,65521,0.0553132,1.11471,0.139895,455,0,0,True
vary_L,equality,16,8,8,1,semi,500,65521,0.0509159,1.11471,0.139895,455,1,1,True
vary_L,equality,16,8,8,2,semi,500,65521,0.0583712,1.11471,0.139895,455,0,0,True
vary_L,equality,16,8,8,3,semi,500,65521,0.0505718,1.11471,0.139895,455,1,1,True
vary_L,equality,16,8,8,4,semi,500,65521,0.0503743,1.11471,0.139895,455,0,0,True
vary_L,equality,32,8,8,0,semi,500,4294967291,0.0617537,2.47834,0.312333,931,0,0,True
vary_L,equality,32,8,8,1,semi,500,4294967291,0.0575052,2.47834,0.312333,931,1,1,True
vary_L,equality,32,8,8,2,semi,500,4294967291,0.0604067,2.47834,0.312333,931,0,0,True
vary_L,equality,32,8,8,3,semi,500,4294967291,0.0540192,2.47834,0.312333,931,1,1,True
vary_L,equality,32,8,8,4,semi,500,4294967291,0.0595803,2.47834,0.312333,931,0,0,True
vary_L,equality,64,8,8,0,semi,500,18446744073709551557,0.0650256,7.25833,0.917497,1785,0,0,True
vary_L,equality,64,8,8,1,semi,500,18446744073709551557,0.0753642,7.25833,0.917497,1785,1,1,True
vary_L,equality,64,8,8,2,semi,500,18446744073709551557,0.0691454,7.25833,0.917497,1785,0,0,True
vary_L,equality,64,8,8,3,semi,500,18446744073709551557,0.0807842,7.25833,0.917497,1785,1,1,True
vary_L,equality,64,8,8,4,semi,500,18446744073709551557,0.0726215,7.25833,0.917497,1785,0,0,True
vary_KN,equality,32,2,2,0,semi,500,4294967291,0.00676648,0.089238,0.044619,133,0,0,True
vary_KN,equality,32,2,2,1,semi,500,4294967291,0.00755834,0.089238,0.044619,133,1,1,True
vary_KN,equality,32,2,2,2,semi,500,4294967291,0.0086401,0.089238,0.044619,133,0,0,True
vary_KN,equality,32,2,2,3,semi,500,4294967291,0.00786482,0.089238,0.044619,133,1,1,True
vary_KN,equality,32,2,2,4,semi,500,4294967291,0.00896377,0.089238,0.044619,133,0,0,True
vary_KN,equality,32,4,4,0,semi,500,4294967291,0.0163589,0.532524,0.133857,399,0,0,True
vary_KN,equality,32,4,4,1,semi,500,4294967291,0.0149536,0.532524,0.133857,399,1,1,True
vary_KN,equality,32,4,4,2,semi,500,4294967291,0.014372,0.532524,0.133857,399,0,0,True
vary_KN,equality,32,4,4,3,semi,500,4294967291,0.0168434,0.532524,0.133857,399,1,1,True
vary_KN,equality,32,4,4,4,semi,500,4294967291,0.016407,0.532524,0.133857,399,0,0,True
vary_KN,equality,32,8,8,0,semi,500,4294967291,0.0505439,2.47834,0.312333,931,0,0,True
vary_KN,equality,32,8,8,1,semi,500,4294967291,0.0486223,2.47834,0.312333,931,1,1,True
vary_KN,equality,32,8,8,2,semi,500,4294967291,0.0595755,2.47834,0.312333,931,0,0,True
vary_KN,equality,32,8,8,3,semi,500,4294967291,0.0507847,2.47834,0.312333,931,1,1,True
vary_KN,equality,32,8,8,4,semi,500,4294967291,0.0531272,2.47834,0.312333,931,0,0,True
vary_KN,equality,32,10,10,0,semi,500,4294967291,0.0745476,3.98086,0.401571,1197,0,0,True
vary_KN,equality,32,10,10,1,semi,500,4294967291,0.0849717,3.98086,0.401571,1197,1,1,True
vary_KN,equality,32,10,10,2,semi,500,4294967291,0.086091,3.98086,0.401571,1197,0,0,True
vary_KN,equality,32,10,10,3,semi,500,4294967291,0.0792291,3.98086,0.401571,1197,1,1,True
vary_KN,equality,32,10,10,4,semi,500,4294967291,0.0716939,3.98086,0.401571,1197,0,0,True
vary_KN,equality,32,20,20,0,semi,500,4294967291,0.274366,16.7897,0.847761,2527,0,0,True
vary_KN,equality,32,20,20,1,semi,500,4294967291,0.3063,16.7897,0.847761,2527,1,1,True
