sweep,operation,L,K,N,protocol,prime,runs,runtime_median_seconds,runtime_p25_seconds,runtime_p75_seconds,communication_median_mb,communication_p25_mb,communication_p75_mb
vary_KN,equality,32,10,10,semi,4294967291,5,0.0792291,0.0745476,0.0849717,3.98086,3.98086,3.98086
vary_KN,equality,32,2,2,semi,4294967291,5,0.00786482,0.00755834,0.0086401,0.089238,0.089238,0.089238
vary_KN,equality,32,20,20,semi,4294967291,5,0.3063,0.289424,0.312707,16.7897,16.7897,16.7897
vary_KN,equality,32,30,30,semi,4294967291,5,0.635197,0.625325,0.639117,38.4255,38.4255,38.4255
vary_KN,equality,32,4,4,semi,4294967291,5,0.0163589,0.0149536,0.016407,0.532524,0.532524,0.532524
vary_KN,equality,32,40,40,semi,4294967291,5,1.06886,1.05976,1.09744,68.8884,68.8884,68.8884
vary_KN,equality,32,50,50,semi,4294967291,5,1.69878,1.66232,1.70306,108.178,108.178,108.178
vary_KN,equality,32,8,8,semi,4294967291,5,0.0507847,0.0505439,0.0531272,2.47834,2.47834,2.47834
vary_KN,max,32,10,10,semi,4294967291,5,0.355867,0.328238,0.359579,81.9574,81.9574,81.9574
vary_KN,max,32,2,2,semi,4294967291,5,0.00761349,0.0071044,0.00850175,0.211334,0.211334,0.211334
vary_KN,max,32,20,20,semi,4294967291,5,2.14809,2.1174,2.34456,729.21,729.21,729.21
vary_KN,max,32,30,30,semi,4294967291,5,6.6053,6.59432,6.73401,2552.37,2552.37,2552.37
vary_KN,max,32,4,4,semi,4294967291,5,0.0299213,0.029534,0.0304808,3.65622,3.65622,3.65622
vary_KN,max,32,40,40,semi,4294967291,5,16.922,16.7436,17.8943,6609.08,6609.08,6609.08
vary_KN,max,32,50,50,semi,4294967291,5,36.1021,35.792,37.2479,12773.6,12773.6,12773.6
vary_KN,max,32,8,8,semi,4294967291,5,0.19194,0.191747,0.199035,40.0037,40.0037,40.0037
vary_L,equality,16,8,8,semi,65521,5,0.0509159,0.0505718,0.0553132,1.11471,1.11471,1.11471
vary_L,equality,32,8,8,semi,4294967291,5,0.0595803,0.0575052,0.0604067,2.47834,2.47834,2.47834
vary_L,equality,64,8,8,semi,18446744073709551557,5,0.0726215,0.0691454,0.0753642,7.25833,7.25833,7.25833
vary_L,equality,8,8,8,semi,251,5,0.0536009,0.0509917,0.0681362,0.67095,0.67095,0.67095
vary_L,max,16,8,8,semi,65521,5,0.11864,0.118434,0.127988,16.2667,16.2667,16.2667
vary_L,max,32,8,8,semi,4294967291,5,0.212267,0.196599,0.213657,40.0037,40.0037,40.0037
vary_L,max,64,8,8,semi,18446744073709551557,5,0.390469,0.377994,0.401555,127.241,127.241,127.241
vary_L,max,8,8,8,semi,251,5,0.0726914,0.0695276,0.0743578,7.43376,7.43376,7.43376
